Player,From,To,Pos,Ht,Wt,Birth Date,College,Link
Brian Brunkhorst,1969,1969,F,6-6,208.0,"June 12, 1945",Marquette University,/players/b/brunkbr01.html
George Bruns,1973,1973,G,6-0,160.0,"August 30, 1946",Manhattan College,/players/b/brunsge01.html
Rick Brunson,1998,2006,G,6-4,190.0,"June 14, 1972",Temple University,/players/b/brunsri01.html
Nicolas Brussino,2017,2017,G-F,6-7,195.0,"March 2, 1993",,/players/b/brussni01.html
Em Bryant,1965,1972,G,6-1,175.0,"November 4, 1938",DePaul University,/players/b/bryanem01.html
Joe Bryant,1976,1983,F-C,6-9,185.0,"October 19, 1954",La Salle University,/players/b/bryanjo01.html
Kobe Bryant,1997,2016,G-F,6-6,212.0,"August 23, 1978",,/players/b/bryanko01.html
Mark Bryant,1989,2003,F-C,6-9,245.0,"April 25, 1965",Seton Hall University,/players/b/bryanma01.html
Wallace Bryant,1984,1986,C,7-0,245.0,"July 14, 1959",University of San Francisco,/players/b/bryanwa01.html
Torgeir Bryn,1990,1990,C,6-9,250.0,"August 8, 1964",Texas State University,/players/b/brynto01.html
George Bucci,1976,1976,G,6-3,200.0,"July 9, 1953",Manhattan College,/players/b/buccige01.html
Joe Buckhalter,1962,1963,F,6-7,210.0,"August 1, 1937",Tennessee State University,/players/b/buckhjo01.html
Steve Bucknall,1990,1990,G,6-6,215.0,"March 17, 1966",University of North Carolina,/players/b/bucknst01.html
Cleveland Buckner,1962,1963,F-C,6-9,210.0,"August 17, 1938",Jackson State University,/players/b/buckncl01.html
Greg Buckner,2000,2009,G,6-4,210.0,"September 16, 1976",Clemson University,/players/b/buckngr01.html
Quinn Buckner,1977,1986,G,6-3,190.0,"August 20, 1954",Indiana University,/players/b/bucknqu01.html
Dave Budd,1961,1965,F,6-6,205.0,"October 28, 1938",Wake Forest University,/players/b/buddda01.html
Chase Budinger,2010,2016,F,6-7,209.0,"May 22, 1988",University of Arizona,/players/b/budinch01.html
Walt Budko,1949,1952,F-C,6-5,220.0,"July 30, 1925",Columbia University,/players/b/budkowa01.html
Jud Buechler,1991,2002,F-G,6-6,220.0,"June 19, 1968",University of Arizona,/players/b/buechju01.html
Rodney Buford,2000,2005,G-F,6-5,189.0,"November 2, 1977",Creighton University,/players/b/buforro01.html
Matt Bullard,1991,2002,F,6-10,215.0,"June 5, 1967",University of Iowa,/players/b/bullama01.html
Reggie Bullock,2014,2017,G-F,6-7,205.0,"March 16, 1991",University of North Carolina,/players/b/bullore01.html
Larry Bunce,1968,1969,C,7-0,240.0,"July 29, 1945",Utah State University,/players/b/buncela01.html
Greg Bunch,1979,1979,F,6-6,190.0,"May 15, 1956","California State University, Fullerton",/players/b/bunchgr01.html
Dick Bunt,1953,1953,G,6-0,170.0,"July 13, 1930",New York University,/players/b/buntdi01.html
Bill Buntin,1966,1966,C-F,6-7,250.0,"May 5, 1942",University of Michigan,/players/b/buntibi01.html
Bill Bunting,1970,1972,F-C,6-8,200.0,"August 26, 1947",University of North Carolina,/players/b/buntibi02.html
Ticky Burden,1976,1978,G,6-2,185.0,"February 28, 1953",University of Utah,/players/b/burdeti01.html
Pat Burke,2003,2007,C-F,6-11,250.0,"December 14, 1973",Auburn University,/players/b/burkepa01.html
Trey Burke,2014,2017,G,6-1,191.0,"November 12, 1992",University of Michigan,/players/b/burketr01.html
Roger Burkman,1982,1982,G,6-5,175.0,"May 22, 1958",University of Louisville,/players/b/burkmro01.html
Alec Burks,2012,2017,G,6-6,214.0,"July 20, 1991",University of Colorado,/players/b/burksal01.html
Antonio Burks,2005,2006,G,6-1,200.0,"February 25, 1980",University of Memphis,/players/b/burksan01.html
Kevin Burleson,2006,2006,G,6-3,205.0,"April 9, 1979",University of Minnesota,/players/b/burleke01.html
Tom Burleson,1975,1981,C,7-2,225.0,"February 24, 1952",North Carolina State University,/players/b/burleto01.html
Jack Burmaster,1950,1950,G,6-3,190.0,"December 23, 1926",University of Illinois at Urbana-Champaign,/players/b/burmaja01.html
David Burns,1982,1982,G,6-2,180.0,"July 3, 1958",Saint Louis University,/players/b/burnsda01.html
Evers Burns,1994,1994,F,6-8,260.0,"August 24, 1971",University of Maryland,/players/b/burnsev01.html
Jim Burns,1968,1968,G,6-3,195.0,"September 21, 1945",Northwestern University,/players/b/burnsji01.html
Scott Burrell,1994,2001,G-F,6-7,218.0,"January 12, 1971",University of Connecticut,/players/b/burresc01.html
Art Burris,1951,1952,F,6-5,220.0,"April 7, 1924",University of Tennessee,/players/b/burriar01.html
Junior Burrough,1996,1996,F,6-8,242.0,"January 18, 1973",University of Virginia,/players/b/burroju01.html
Bob Burrow,1957,1958,C-F,6-7,228.0,"June 29, 1934",University of Kentucky,/players/b/burrobo01.html
Ed Burton,1962,1965,F,6-6,225.0,"August 13, 1939",Michigan State University,/players/b/burtoed01.html
Willie Burton,1991,1999,F-G,6-8,210.0,"May 26, 1968",University of Minnesota,/players/b/burtowi01.html
Steve Burtt,1985,1993,G,6-2,185.0,"November 5, 1962",Iona College,/players/b/burttst01.html
Don Buse,1973,1985,G,6-4,190.0,"August 10, 1950",University of Evansville,/players/b/busedo01.html
David Bustion,1973,1973,F,6-8,215.0,"August 30, 1949",University of Denver,/players/b/bustida01.html
Donnie Butcher,1962,1966,G,6-2,200.0,"February 8, 1936",Pikeville College,/players/b/butchdo01.html
Al Butler,1962,1965,G,6-2,175.0,"July 9, 1938",Niagara University,/players/b/butleal01.html
Caron Butler,2003,2016,F,6-7,228.0,"March 13, 1980",University of Connecticut,/players/b/butleca01.html
Greg Butler,1989,1991,C,6-11,240.0,"March 11, 1966",Stanford University,/players/b/butlegr01.html
Jackie Butler,2005,2007,F-C,6-10,250.0,"March 10, 1985",,/players/b/butleja01.html
Jimmy Butler,2012,2017,G-F,6-7,220.0,"September 14, 1989",Marquette University,/players/b/butleji01.html
Mike Butler,1969,1972,G,6-2,170.0,"October 22, 1946",University of Memphis,/players/b/butlemi01.html
Mitchell Butler,1994,2004,G-F,6-5,210.0,"December 15, 1970","University of California, Los Angeles",/players/b/butlemi02.html
Rasual Butler,2003,2016,F-G,6-7,215.0,"May 23, 1979",La Salle University,/players/b/butlera01.html
Dwight Buycks,2014,2015,G,6-3,190.0,"March 6, 1989",Marquette University,/players/b/buyckdw01.html
Derrick Byars,2012,2012,F,6-7,220.0,"April 25, 1984",Vanderbilt University,/players/b/byarsde01.html
Andrew Bynum,2006,2014,C,7-0,285.0,"October 27, 1987",,/players/b/bynuman01.html
Will Bynum,2006,2015,G,6-0,185.0,"January 4, 1983",Georgia Institute of Technology,/players/b/bynumwi01.html
Walter Byrd,1970,1970,F,6-7,205.0,,Temple University,/players/b/byrdwa01.html
Marty Byrnes,1979,1983,F,6-7,215.0,"April 30, 1956",Syracuse University,/players/b/byrnema01.html
Tommy Byrnes,1947,1951,F-G,6-3,175.0,"February 19, 1923",Seton Hall University,/players/b/byrneto01.html
Michael Bytzura,1947,1947,F,6-1,170.0,"June 18, 1922",Long Island University,/players/b/bytzumi01.html
Zarko Cabarkapa,2004,2006,F,6-11,235.0,"May 21, 1981",,/players/c/cabarza01.html
Barney Cable,1959,1964,F,6-7,175.0,"July 29, 1935",Bradley University,/players/c/cableba01.html
Bruno Caboclo,2015,2017,F,6-9,218.0,"September 21, 1995",,/players/c/cabocbr01.html
Jason Caffey,1996,2003,F,6-8,255.0,"June 12, 1973",University of Alabama,/players/c/caffeja01.html
Michael Cage,1985,2000,F-C,6-9,224.0,"January 28, 1962",San Diego State University,/players/c/cagemi01.html
Gerry Calabrese,1951,1952,G,6-1,175.0,"February 4, 1925",St. John's University,/players/c/calabge01.html
Nick Calathes,2014,2015,G,6-6,213.0,"February 7, 1989",University of Florida,/players/c/calatni01.html
Jose Calderon,2006,2017,G,6-3,200.0,"September 28, 1981",,/players/c/caldejo01.html
Adrian Caldwell,1990,1998,F-C,6-8,265.0,"July 4, 1966",Lamar University,/players/c/caldwad01.html
Jim Caldwell,1968,1969,C,6-10,240.0,"January 28, 1943",Georgia Institute of Technology,/players/c/caldwji01.html
Joe Caldwell,1965,1975,F-G,6-5,195.0,"November 1, 1941",Arizona State University,/players/c/caldwjo01.html
Kentavious Caldwell-Pope,2014,2017,G,6-5,205.0,"February 18, 1993",University of Georgia,/players/c/caldwke01.html
Bill Calhoun,1949,1955,F-G,6-3,180.0,"November 4, 1927",City College of San Francisco,/players/c/calhobi01.html
Corky Calhoun,1973,1980,F,6-7,210.0,"November 1, 1950",University of Pennsylvania,/players/c/calhoco01.html
Demetrius Calip,1992,1992,G,6-1,165.0,"November 18, 1969",University of Michigan,/players/c/calipde01.html
Tom Callahan,1947,1947,G,6-1,180.0,"June 2, 1921",Rockhurst University,/players/c/callato01.html
Rick Calloway,1991,1991,F,6-6,180.0,"December 12, 1966",University of Kansas,/players/c/callori01.html
Ernie Calverley,1947,1949,G,5-10,145.0,"January 30, 1924",University of Rhode Island,/players/c/calveer01.html
Mack Calvin,1970,1981,G,6-0,165.0,"July 27, 1947",University of Southern California,/players/c/calvima01.html
Dexter Cambridge,1993,1993,F,6-7,224.0,"January 29, 1970",University of Texas at Austin,/players/c/cambrde01.html
Marcus Camby,1997,2013,C-F,6-11,220.0,"March 22, 1974",University of Massachusetts Amherst,/players/c/cambyma01.html
Elden Campbell,1991,2005,C,6-11,215.0,"July 23, 1968",Clemson University,/players/c/campbel01.html
Tony Campbell,1985,1995,F-G,6-7,215.0,"May 7, 1962",Ohio State University,/players/c/campbto01.html
Isaiah Canaan,2014,2017,G,6-0,201.0,"May 21, 1991",Murray State University,/players/c/canaais01.html
Larry Cannon,1970,1974,G,6-4,195.0,"April 12, 1947",La Salle University,/players/c/cannola01.html
Clint Capela,2015,2017,F-C,6-10,240.0,"May 18, 1994",,/players/c/capelca01.html
Derrick Caracter,2011,2011,F,6-9,275.0,"May 4, 1988",University of Texas at El Paso,/players/c/caracde01.html
Frank Card,1969,1973,F,6-7,195.0,"December 28, 1944",South Carolina State University,/players/c/cardfr01.html
Brian Cardinal,2001,2012,F,6-8,245.0,"May 2, 1977",Purdue University,/players/c/cardibr01.html
Howie Carl,1962,1962,G,5-9,160.0,"June 7, 1938",DePaul University,/players/c/carlho01.html
Chet Carlisle,1947,1947,F-C,6-5,195.0,"November 2, 1916",University of California,/players/c/carlich01.html
Geno Carlisle,2005,2005,G,6-3,180.0,"August 13, 1976",University of California,/players/c/carlige01.html
Rick Carlisle,1985,1990,G,6-5,210.0,"October 27, 1959",University of Virginia,/players/c/carliri01.html
Don Carlos,1969,1969,G-F,6-5,210.0,"March 3, 1944",Otterbein College,/players/c/carlodo01.html
Al Carlson,1976,1976,C,6-11,235.0,"September 17, 1951",University of Oregon,/players/c/carlsal01.html
Don Carlson,1947,1951,G-F,6-0,170.0,"March 22, 1919",University of Minnesota,/players/c/carlsdo01.html
Bob Carney,1955,1955,G,6-3,170.0,"August 3, 1932",Bradley University,/players/c/carnebo01.html
Rodney Carney,2007,2011,F,6-7,205.0,"April 15, 1984",University of Memphis,/players/c/carnero01.html
Bob Carpenter,1950,1951,F-C,6-5,200.0,"November 6, 1917",East Texas State University,/players/c/carpebo01.html
Antoine Carr,1985,2000,F-C,6-9,225.0,"July 23, 1961",Wichita State University,/players/c/carran01.html
Austin Carr,1972,1981,G,6-4,200.0,"March 10, 1948",University of Notre Dame,/players/c/carrau01.html
Chris Carr,1996,2001,G,6-5,207.0,"March 12, 1974",Southern Illinois University,/players/c/carrch01.html
Cory Carr,1999,1999,G,6-3,210.0,"December 5, 1975",Texas Tech University,/players/c/carrco01.html
Kenny Carr,1978,1987,F,6-7,220.0,"August 15, 1955",North Carolina State University,/players/c/carrke01.html
M.L. Carr,1976,1985,F-G,6-6,205.0,"January 9, 1951",Guilford College,/players/c/carrml01.html
Darel Carrier,1968,1973,G,6-3,185.0,"October 26, 1940",Western Kentucky University,/players/c/carrida01.html
Bob Carrington,1978,1980,G-F,6-6,195.0,"July 3, 1953",Boston College,/players/c/carribo01.html
DeMarre Carroll,2010,2017,F,6-8,215.0,"July 27, 1986",University of Missouri,/players/c/carrode01.html
Joe Barry Carroll,1981,1991,C-F,7-0,225.0,"July 24, 1958",Purdue University,/players/c/carrojo01.html
Matt Carroll,2004,2013,G,6-6,212.0,"August 28, 1980",University of Notre Dame,/players/c/carroma01.html
Jimmy Carruth,1997,1997,C-F,6-10,265.0,"November 4, 1969",Virginia Polytechnic Institute and State University,/players/c/carruji01.html
Anthony Carter,2000,2012,G,6-1,190.0,"June 16, 1975",University of Hawaii,/players/c/cartean01.html
Butch Carter,1981,1986,G,6-5,180.0,"June 11, 1958",Indiana University,/players/c/cartebu01.html
Fred Carter,1970,1977,G-F,6-3,185.0,"February 14, 1945",Mount St. Mary's University,/players/c/cartefr01.html
George Carter,1968,1976,F-G,6-4,210.0,"January 10, 1944",St. Bonaventure University,/players/c/cartege01.html
Howard Carter,1984,1985,G,6-5,215.0,"October 26, 1961",Louisiana State University,/players/c/carteho01.html
Jake Carter,1950,1950,F-C,6-4,195.0,"July 25, 1924",East Texas State University,/players/c/carteja01.html
Maurice Carter,2004,2004,G,6-5,210.0,"October 12, 1976",Louisiana State University,/players/c/cartema01.html
Reggie Carter,1981,1982,G,6-3,175.0,"October 10, 1957",St. John's University,/players/c/cartere01.html
Ron Carter,1979,1980,G,6-5,190.0,"August 31, 1956",Virginia Military Institute,/players/c/cartero01.html
Vince Carter,1999,2017,G-F,6-6,220.0,"January 26, 1977",University of North Carolina,/players/c/cartevi01.html
Michael Carter-Williams,2014,2017,G,6-6,190.0,"October 10, 1991",Syracuse University,/players/c/cartemi01.html
Bill Cartwright,1980,1995,C,7-1,245.0,"July 30, 1957",University of San Francisco,/players/c/cartwbi01.html
Jay Carty,1969,1969,F,6-8,220.0,"July 4, 1941",Oregon State University,/players/c/cartyja01.html
Cornelius Cash,1977,1977,F,6-8,215.0,"March 3, 1952",Bowling Green State University,/players/c/cashco01.html
Sam Cash,1973,1973,F,6-8,230.0,"November 13, 1950","University of California, Riverside",/players/c/cashsa01.html
Sam Cassell,1994,2008,G,6-3,185.0,"November 18, 1969",Florida State University,/players/c/cassesa01.html
Omri Casspi,2010,2017,F,6-9,225.0,"June 22, 1988",,/players/c/casspom01.html
Harvey Catchings,1975,1985,C-F,6-9,218.0,"September 2, 1951",Hardin-Simmons University,/players/c/catchha01.html
Terry Catledge,1986,1993,F,6-8,220.0,"August 22, 1963",University of South Alabama,/players/c/catlete01.html
Sid Catlett,1972,1972,F,6-6,230.0,"April 18, 1948",University of Notre Dame,/players/c/catlesi01.html
Kelvin Cato,1998,2007,C,6-11,255.0,"August 26, 1974",Iowa State University,/players/c/catoke01.html
Bobby Cattage,1982,1986,F,6-9,250.0,"August 17, 1958",Auburn University,/players/c/cattabo01.html
Willie Cauley-Stein,2016,2017,F-C,7-0,240.0,"August 18, 1993",University of Kentucky,/players/c/caulewi01.html
Duane Causwell,1991,2001,C,7-0,240.0,"May 31, 1968",Temple University,/players/c/causwdu01.html
Ron Cavenall,1985,1989,C,7-1,230.0,"April 30, 1959",Texas Southern University,/players/c/cavenro01.html
Cedric Ceballos,1991,2001,F,6-6,190.0,"August 2, 1969","California State University, Fullerton",/players/c/cebalce01.html
John Celestand,2000,2000,G,6-4,178.0,"March 6, 1977",Villanova University,/players/c/celesjo01.html
Al Cervi*,1950,1953,G-F,5-11,170.0,"February 12, 1917",,/players/c/cervial01.html
Lionel Chalmers,2005,2005,G,6-0,180.0,"November 10, 1980",Xavier University,/players/c/chalmli01.html
Mario Chalmers,2009,2016,G,6-2,190.0,"May 19, 1986",University of Kansas,/players/c/chalmma01.html
Bill Chamberlain,1973,1974,F,6-6,188.0,"December 16, 1949",University of North Carolina,/players/c/chambbi01.html
Wilt Chamberlain*,1960,1973,C,7-1,275.0,"August 21, 1936",University of Kansas,/players/c/chambwi01.html
Jerry Chambers,1967,1974,F,6-5,185.0,"July 18, 1943",University of Utah,/players/c/chambje01.html
Tom Chambers,1982,1998,F-C,6-10,220.0,"June 21, 1959",University of Utah,/players/c/chambto01.html
Mike Champion,1989,1989,F,6-10,230.0,"April 5, 1964",Gonzaga University,/players/c/champmi01.html
Tyson Chandler,2002,2017,C,7-1,240.0,"October 2, 1982",,/players/c/chandty01.html
Wilson Chandler,2008,2017,F,6-8,225.0,"May 10, 1987",DePaul University,/players/c/chandwi01.html
Don Chaney,1969,1980,G,6-5,210.0,"March 22, 1946",University of Houston,/players/c/chanedo01.html
John Chaney,1950,1950,F-C,6-3,185.0,"February 29, 1920",Louisiana State University,/players/c/chanejo01.html
Rex Chapman,1989,2000,G,6-4,185.0,"October 5, 1967",University of Kentucky,/players/c/chapmre01.html
Wayne Chapman,1969,1972,G-F,6-6,190.0,"June 15, 1945",Western Kentucky University,/players/c/chapmwa01.html
Len Chappell,1963,1972,F-C,6-8,240.0,"January 31, 1941",Wake Forest University,/players/c/chapple01.html
Ken Charles,1974,1978,G,6-3,180.0,"July 10, 1951",Fordham University,/players/c/charlke01.html
Lorenzo Charles,1986,1986,F,6-7,225.0,"November 25, 1963",North Carolina State University,/players/c/charllo01.html
Calbert Cheaney,1994,2006,G-F,6-7,209.0,"July 17, 1971",Indiana University,/players/c/cheanca01.html
Maurice Cheeks,1979,1993,G,6-1,180.0,"September 8, 1956",West Texas A&M University,/players/c/cheekma01.html
Phil Chenier,1972,1981,G,6-3,180.0,"October 30, 1950",University of California,/players/c/cheniph01.html
Will Cherry,2015,2015,G,6-0,185.0,"February 8, 1991",University of Montana,/players/c/cherrwi01.html
Derrick Chievous,1989,1991,F,6-7,195.0,"July 3, 1967",University of Missouri,/players/c/chievde01.html
Pete Chilcutt,1992,2000,F-C,6-10,230.0,"September 14, 1968",University of North Carolina,/players/c/chilcpe01.html
Josh Childress,2005,2014,G-F,6-8,210.0,"June 20, 1983",Stanford University,/players/c/childjo01.html
Randolph Childress,1996,1997,G,6-2,188.0,"September 21, 1972",Wake Forest University,/players/c/childra01.html
Chris Childs,1995,2003,G,6-3,195.0,"November 20, 1967",Boise State University,/players/c/childch01.html
Leroy Chollet,1950,1951,F,6-2,190.0,"March 5, 1925",Canisius College,/players/c/chollle01.html
Jim Chones,1973,1982,C-F,6-11,220.0,"November 30, 1949",Marquette University,/players/c/choneji01.html
Marquese Chriss,2017,2017,F,6-10,233.0,"July 2, 1997",University of Washington,/players/c/chrisma01.html
Fred Christ,1955,1955,G,6-4,210.0,"August 6, 1930",Fordham University,/players/c/chrisfr01.html
Cal Christensen,1951,1955,F-C,6-5,210.0,"July 8, 1927",University of Toledo,/players/c/chrisca01.html
Bob Christian,1970,1974,C,6-10,255.0,"May 11, 1946",Grambling State University,/players/c/chrisbo01.html
Doug Christie,1993,2007,G-F,6-6,200.0,"May 9, 1970",Pepperdine University,/players/c/chrisdo01.html
Dionte Christmas,2014,2014,G,6-5,205.0,"September 15, 1986",Temple University,/players/c/chrisdi01.html
Rakeem Christmas,2016,2017,F,6-9,250.0,"December 1, 1991",Syracuse University,/players/c/chrisra01.html
Semaj Christon,2017,2017,G,6-3,190.0,"November 1, 1992",Xavier University,/players/c/chrisse01.html
Patrick Christopher,2015,2015,G-F,6-5,209.0,"June 3, 1988",University of California,/players/c/chrispa01.html
Stephen Chubin,1968,1970,G,6-2,200.0,"February 8, 1944",University of Rhode Island,/players/c/chubist01.html
Robert Churchwell,1996,1996,G-F,6-6,195.0,"February 20, 1972",Georgetown University,/players/c/churcro01.html
Archie Clark,1967,1976,G,6-2,175.0,"July 15, 1941",University of Minnesota,/players/c/clarkar01.html
Carlos Clark,1984,1985,G,6-4,210.0,"August 10, 1960",University of Mississippi,/players/c/clarkca01.html
Earl Clark,2010,2015,F,6-10,225.0,"January 17, 1988",University of Louisville,/players/c/clarkea01.html
Ian Clark,2014,2017,G,6-3,175.0,"March 7, 1991",Belmont University,/players/c/clarkia01.html
Keon Clark,1999,2004,F-C,6-11,220.0,"April 16, 1975","University of Nevada, Las Vegas",/players/c/clarkke01.html
Richard Clark,1968,1969,G,6-4,190.0,"January 5, 1944",Eastern Kentucky University,/players/c/clarkri01.html
Coty Clarke,2016,2016,F,6-7,232.0,"July 4, 1992",University of Arkansas,/players/c/clarkco01.html
Jordan Clarkson,2015,2017,G,6-5,194.0,"June 7, 1992",University of Missouri,/players/c/clarkjo01.html
Victor Claver,2013,2015,F,6-9,224.0,"August 30, 1988",,/players/c/clavevi01.html
John Clawson,1969,1969,F,6-4,200.0,"May 15, 1944",University of Michigan,/players/c/clawsjo01.html
Charles Claxton,1996,1996,C,7-0,265.0,"December 13, 1970",University of Georgia,/players/c/claxtch01.html
Speedy Claxton,2002,2009,G,5-11,166.0,"May 8, 1978",Hofstra University,/players/c/claxtsp01.html
Jim Cleamons,1972,1980,G,6-3,185.0,"September 13, 1949",Ohio State University,/players/c/cleamji01.html
Mateen Cleaves,2001,2006,G,6-2,205.0,"September 7, 1977",Michigan State University,/players/c/cleavma01.html
Barry Clemens,1966,1976,F,6-6,210.0,"May 1, 1943",Ohio Wesleyan University,/players/c/clemeba01.html
Nat Clifton*,1951,1958,C-F,6-6,220.0,"October 13, 1922",Xavier University of Louisiana,/players/c/cliftna01.html
Bill Closs,1950,1952,F-C,6-5,195.0,"January 8, 1922",Rice University,/players/c/clossbi01.html
Keith Closs,1998,2000,C,7-3,212.0,"April 3, 1976",Central Connecticut State University,/players/c/closske01.html
Paul Cloyd,1950,1950,G-F,6-2,180.0,"June 13, 1920",University of Wisconsin,/players/c/cloydpa01.html
Bob Cluggish,1947,1947,C,6-10,235.0,"September 18, 1917",University of Kentucky,/players/c/cluggbo01.html
Ben Clyde,1975,1975,F,6-7,198.0,"June 10, 1951",Florida State University,/players/c/clydebe01.html
Richard Coffey,1991,1991,F,6-6,212.0,"September 2, 1965",University of Minnesota,/players/c/cofferi01.html
Fred Cofield,1986,1987,G,6-3,190.0,"January 4, 1962",Eastern Michigan University,/players/c/cofiefr01.html
John Coker,1996,2001,C,7-0,253.0,"October 28, 1971",Boise State University,/players/c/cokerjo01.html
Norris Cole,2012,2017,G,6-2,175.0,"October 13, 1988",Cleveland State University,/players/c/coleno01.html
Ben Coleman,1987,1994,F,6-9,235.0,"November 14, 1961",University of Maryland,/players/c/colembe01.html
Derrick Coleman,1991,2005,F,6-10,230.0,"June 21, 1967",Syracuse University,/players/c/colemde01.html
E.C. Coleman,1974,1979,F,6-8,225.0,"September 25, 1950",Houston Baptist University,/players/c/colemec01.html
Jack Coleman,1950,1958,F-C,6-7,195.0,"May 23, 1924",University of Louisville,/players/c/colemja01.html
Norris Coleman,1988,1988,F,6-8,210.0,"September 27, 1961",Kansas State University,/players/c/colemno01.html
Bimbo Coles,1991,2004,G,6-1,180.0,"April 22, 1968",Virginia Polytechnic Institute and State University,/players/c/colesbi01.html
Jason Collier,2001,2005,C,7-0,260.0,"September 8, 1977",Georgia Institute of Technology,/players/c/collija02.html
Art Collins,1981,1981,G,6-4,185.0,"April 14, 1954",St. Thomas University,/players/c/colliar01.html
Don Collins,1981,1987,F-G,6-6,190.0,"November 28, 1958",Washington State University,/players/c/collido02.html
Doug Collins,1974,1981,G-F,6-6,180.0,"July 28, 1951",Illinois State University,/players/c/collido01.html
James Collins,1998,1998,G,6-4,196.0,"November 5, 1973",Florida State University,/players/c/collija01.html
Jarron Collins,2002,2011,F-C,6-11,255.0,"December 2, 1978",Stanford University,/players/c/collija03.html
Jason Collins,2002,2014,C,7-0,255.0,"December 2, 1978",Stanford University,/players/c/collija04.html
Jimmy Collins,1971,1972,G,6-2,175.0,"November 24, 1946",New Mexico State University,/players/c/colliji01.html
Mardy Collins,2007,2010,G,6-6,220.0,"August 4, 1984",Temple University,/players/c/collima01.html
Sherron Collins,2011,2011,G,5-11,205.0,"March 18, 1987",University of Kansas,/players/c/collish01.html
Darren Collison,2010,2017,G,6-0,175.0,"August 23, 1987","University of California, Los Angeles",/players/c/collida01.html
Nick Collison,2005,2017,F,6-10,255.0,"October 26, 1980",University of Kansas,/players/c/collini01.html
Joe Colone,1949,1949,F,6-5,210.0,"January 23, 1924",Bloomsburg University of Pennsylvania,/players/c/colonjo01.html
Sean Colson,2001,2001,G,6-0,175.0,"July 1, 1975",University of North Carolina at Charlotte,/players/c/colsose01.html
Steve Colter,1985,1995,G,6-3,165.0,"July 24, 1962",New Mexico State University,/players/c/coltest01.html
Glen Combs,1969,1975,G,6-2,185.0,"October 30, 1946",Virginia Polytechnic Institute and State University,/players/c/combsgl01.html
Leroy Combs,1984,1984,F,6-8,210.0,"January 1, 1961",Oklahoma State University,/players/c/combsle01.html
John Comeaux,1968,1968,F,6-5,193.0,"September 15, 1943",Grambling State University,/players/c/comeajo01.html
Dallas Comegys,1988,1989,F,6-9,205.0,"August 17, 1964",DePaul University,/players/c/comegda01.html
Larry Comley,1964,1964,G,6-5,210.0,"August 17, 1939",Kansas State University,/players/c/comlela01.html
Jeffrey Congdon,1968,1972,G,6-1,180.0,"October 17, 1943",Brigham Young University,/players/c/congdje01.html
Gene Conley,1953,1964,C-F,6-8,225.0,"November 10, 1930",Washington State University,/players/c/conlege01.html
Larry Conley,1968,1968,G,6-3,175.0,"January 22, 1944",University of Kentucky,/players/c/conlela01.html
Mike Conley,2008,2017,G,6-1,175.0,"October 11, 1987",Ohio State University,/players/c/conlemi01.html
Ed Conlin,1956,1962,F-G,6-5,200.0,"September 2, 1933",Fordham University,/players/c/conlied01.html
Marty Conlon,1992,2000,F-C,6-10,224.0,"January 19, 1968",Providence College,/players/c/conloma01.html
Pat Connaughton,2016,2017,G,6-5,206.0,"January 6, 1993",University of Notre Dame,/players/c/connapa01.html
Jimmy Conner,1976,1976,G,6-4,190.0,"March 20, 1953",University of Kentucky,/players/c/conneji01.html
Lester Conner,1983,1995,G,6-4,180.0,"September 17, 1959",Oregon State University,/players/c/connele01.html
Chuck Connors,1947,1948,F-C,6-5,190.0,"April 10, 1921",Seton Hall University,/players/c/connoch01.html
Will Conroy,2007,2013,G,6-2,195.0,"December 8, 1982",University of Washington,/players/c/conrowi01.html
Anthony Cook,1991,1996,F-C,6-9,205.0,"March 19, 1967",University of Arizona,/players/c/cookan01.html
Bert Cook,1955,1955,G-F,6-3,185.0,"April 26, 1929",Utah State University,/players/c/cookbe01.html
Bobby Cook,1950,1950,G-F,5-10,155.0,"April 1, 1923",University of Wisconsin,/players/c/cookbo01.html
Brian Cook,2004,2012,F,6-9,234.0,"December 4, 1980",University of Illinois at Urbana-Champaign,/players/c/cookbr01.html
Daequan Cook,2008,2013,G,6-5,205.0,"April 28, 1987",Ohio State University,/players/c/cookda02.html
Darwin Cook,1981,1989,G,6-3,184.0,"August 6, 1958",University of Portland,/players/c/cookda01.html
Jeff Cook,1980,1988,F-C,6-10,215.0,"October 21, 1956",Idaho State University,/players/c/cookje01.html
Norm Cook,1977,1978,F,6-8,210.0,"March 21, 1955",University of Kansas,/players/c/cookno01.html
Omar Cook,2004,2005,G,6-1,190.0,"January 28, 1982",St. John's University,/players/c/cookom01.html
Quinn Cook,2017,2017,G,6-2,184.0,"March 23, 1993",Duke University,/players/c/cookqu01.html
David Cooke,1986,1986,F,6-8,230.0,"September 27, 1963",Saint Mary's College of California,/players/c/cookeda01.html
Joe Cooke,1971,1971,G,6-3,175.0,"August 14, 1948",Indiana University,/players/c/cookejo01.html
Jack Cooley,2015,2015,F,6-9,260.0,"April 4, 1991",University of Notre Dame,/players/c/cooleja01.html
Chuck Cooper,1951,1956,F,6-5,210.0,"September 29, 1926",Duquesne University,/players/c/coopech01.html
Duane Cooper,1993,1994,G,6-1,185.0,"June 25, 1969",University of Southern California,/players/c/coopedu01.html
Joe Cooper,1982,1985,C-F,6-10,230.0,"September 1, 1957",University of Colorado,/players/c/coopejo01.html
