Player,Bref_ID,Sref_Cbb_ID
Ben Clyde,clydebe01,
Richard Coffey,cofferi01,richard-coffey-1
Fred Cofield,cofiefr01,fred-cofield-1
John Coker,cokerjo01,john-coker-1
Norris Cole,coleno01,norris-cole-1
Ben Coleman,colembe01,ben-coleman-1
Derrick Coleman,colemde01,derrick-coleman-1
E.C. Coleman,colemec01,
Jack Coleman,colemja01,
Norris Coleman,colemno01,norris-coleman-1
Bimbo Coles,colesbi01,bimbo-coles-1
Jason Collier,collija02,jason-collier-1
Art Collins,colliar01,
Don Collins,collido02,don-collins-1
Doug Collins,collido01,doug-collins-1
James Collins,collija01,james-collins-1
Jarron Collins,collija03,jarron-collins-1
Jason Collins,collija04,jason-collins-1
Jimmy Collins,colliji01,
Mardy Collins,collima01,mardy-collins-1
Sherron Collins,collish01,sherron-collins-1
Darren Collison,collida01,darren-collison-1
Nick Collison,collini01,nick-collison-1
Joe Colone,colonjo01,
Sean Colson,colsose01,sean-colson-1
Steve Colter,coltest01,steve-colter-1
Glen Combs,combsgl01,
Leroy Combs,combsle01,leroy-combs-1
John Comeaux,comeajo01,
Dallas Comegys,comegda01,dallas-comegys-1
Larry Comley,comlela01,
Jeffrey Congdon,congdje01,
Gene Conley,conlege01,gene-conley-1
Larry Conley,conlela01,
Mike Conley,conlemi01,mike-conley-1
Ed Conlin,conlied01,
Marty Conlon,conloma01,marty-conlon-1
Pat Connaughton,connapa01,pat-connaughton-1
Jimmy Conner,conneji01,
Lester Conner,connele01,lester-conner-1
Chuck Connors,connoch01,
Will Conroy,conrowi01,will-conroy-1
Anthony Cook,cookan01,anthony-cook-1
Bert Cook,cookbe01,
Bobby Cook,cookbo01,
Brian Cook,cookbr01,brian-cook-1
Daequan Cook,cookda02,daequan-cook-1
Darwin Cook,cookda01,darwin-cook-1
Jeff Cook,cookje01,jeff-cook-1
Norm Cook,cookno01,
Omar Cook,cookom01,omar-cook-1
Quinn Cook,cookqu01,quinn-cook-1
David Cooke,cookeda01,david-cooke-1
Joe Cooke,cookejo01,
Jack Cooley,cooleja01,jack-cooley-1
Chuck Cooper,coopech01,
Duane Cooper,coopedu01,duane-cooper-1
Joe Cooper,coopejo01,joe-cooper-1
Michael Cooper,coopemi01,michael-cooper-1
Wayne Cooper,coopewa01,wayne-cooper-1
Tom Copa,copato01,tom-copa-1
Chris Copeland,copelch01,chris-copeland-1
Hollis Copeland,copelho01,hollis-copeland-1
Lanard Copeland,copella01,lanard-copeland-1
Tyrone Corbin,corbity01,tyrone-corbin-1
Chris Corchiani,corchch01,chris-corchiani-1
Ken Corley,corleke01,
Ray Corley,corlera01,
Dave Corzine,corzida01,dave-corzine-1
Larry Costello,costela01,larry-costello-1
Bryce Cotton,cottobr01,bryce-cotton-1
Jack Cotton,cottoja01,
James Cotton,cottoja02,james-cotton-2
John Coughran,coughjo01,john-coughran-1
Mel Counts,countme01,
Steve Courtin,courtst01,
Joe Courtney,courtjo01,joe-courtney-1
Marcus Cousin,cousima01,marcus-cousin-1
DeMarcus Cousins,couside01,demarcus-cousins-1
Bob Cousy,cousybo01,bob-cousy-1
Robert Covington,covinro01,robert-covington-1
Dave Cowens,cowenda01,dave-cowens-1
Chubby Cox,coxch01,chubby-cox-1
Johnny Cox,coxjo01,
Wesley Cox,coxwe01,
Allen Crabbe,crabbal01,allen-crabbe-1
Chris Crawford,crawfch01,chris-crawford-1
Freddie Crawford,crawffr01,
Jamal Crawford,crawfja01,jamal-crawford-1
Joe Crawford,crawfjo01,joe-crawford-1
Jordan Crawford,crawfjo02,jordan-crawford-1
Jim Creighton,creigji01,
Ron Crevier,creviro01,ron-crevier-1
Hal Crisler,crislha01,
Joe Crispin,crispjo01,joe-crispin-1
Charlie Criss,crissch01,charlie-criss-1
Russell Critchfield,critcru01,
Winston Crite,critewi01,winston-crite-1
Javaris Crittenton,crittja01,javaris-crittenton-1
Dillard Crocker,crockdi01,
Bobby Croft,croftbo01,
Geoff Crompton,crompge01,geoff-crompton-1
Terry Crosby,crosbte01,terry-crosby-1
Austin Croshere,croshau01,austin-croshere-1
Jeff Cross,crossje01,jeff-cross-1
Pete Cross,crosspe01,
Russell Cross,crossru01,russell-cross-1
Chink Crossin,crossch01,
John Crotty,crottjo01,john-crotty-1
Bill Crow,crowbi01,
Mark Crow,crowma01,
Corey Crowder,crowdco01,
Jae Crowder,crowdja01,jae-crowder-1
Al Cueto,cuetoal01,
Pat Cummings,cummipa01,pat-cummings-1
Terry Cummings,cummite01,terry-cummings-1
Vonteego Cummings,cummivo01,vonteego-cummings-1
Billy Cunningham,cunnibi01,billy-cunningham-1
Dante Cunningham,cunnida01,dante-cunningham-1
Dick Cunningham,cunnidi01,
Jared Cunningham,cunnija01,jared-cunningham-2
William Cunningham,cunniwi01,william-cunningham-1
Radisav Curcic,curcira01,
Armand Cure,curear01,
Earl Cureton,curetea01,
Bill Curley,curlebi01,bill-curley-1
Fran Curran,currafr01,
Dell Curry,curryde01,dell-curry-1
Eddy Curry,curryed01,
JamesOn Curry,curryja01,jameson-curry-1
Michael Curry,currymi01,michael-curry-1
Seth Curry,curryse01,seth-curry-1
Stephen Curry,curryst01,stephen-curry-1
Rastko Cvetkovic,cvetkra01,
Mike D'Antoni,dantomi01,
Mike Dabich,dabicmi01,
Ed Dahler,dahleed01,
Quintin Dailey,dailequ01,
Samuel Dalembert,dalemsa01,samuel-dalembert-1
Howie Dallmar,dallmho01,
Erick Dampier,dampier01,erick-dampier-1
Louie Dampier,dampilo01,
Bob Dandridge,dandrbo01,
Antonio Daniels,daniean01,antonio-daniels-1
Erik Daniels,danieer01,erik-daniels-1
Lloyd Daniels,daniell01,
Marquis Daniels,daniema01,marquis-daniels-1
Mel Daniels,danieme01,mel-daniels-1
Troy Daniels,danietr01,troy-daniels-1
Sasha Danilovic,danilsa01,
Adrian Dantley,dantlad01,adrian-dantley-1
Pete Darcey,darcepe01,
Jimmy Darden,dardeji01,
Ollie Darden,dardeol01,
Yinka Dare,dareyi01,yinka-dare-1
Jesse Dark,darkje01,
Rick Darnell,darneri01,
Jimmy Darrow,darroji01,
Luigi Datome,datomlu01,
Brad Daugherty,daughbr01,brad-daugherty-1
Mack Daughtry,daughma01,
Kornel David,davidko01,
Jermareo Davidson,davidje01,jermareo-davidson-1
Bob Davies,daviebo01,bob-davies-1
Brandon Davies,daviebr01,brandon-davies-1
Anthony Davis,davisan02,anthony-davis-5
Antonio Davis,davisan01,antonio-davis-1
Aubrey Davis,davisau01,
Baron Davis,davisba01,baron-davis-1
Ben Davis,davisbe01,ben-davis-1
Bill Davis,davisbi01,
Bob Davis,davisbo01,
Brad Davis,davisbr01,brad-davis-1
Brian Davis,davisbr02,brian-davis-1
Charles Davis,davisch02,charles-davis-1
Charlie Davis,davisch01,
Dale Davis,davisda01,dale-davis-1
Deyonta Davis,davisde01,deyonta-davis-1
Dwight Davis,davisdw01,
Ed Davis,davised01,ed-davis-1
Emanual Davis,davisem01,emanual-davis-1
Glen Davis,davisgl01,glen-davis-1
Harry Davis,davisha01,harry-davis-1
Hubert Davis,davishu01,hubert-davis-1
Jim Davis,davisji01,
Johnny Davis,davisjo01,johnny-davis-1
Josh Davis,davisjo02,josh-davis-1
Lee Davis,davisle01,
Mark Davis,davisma01,mark-davis-1
Mark Davis,davisma02,mark-davis-2
Mel Davis,davisme01,
Mickey Davis,davismi02,
Mike Davis,davismi01,
Mike Davis,davismi03,mike-davis-1
Monti Davis,davismo01,monti-davis-1
Paul Davis,davispa01,paul-davis-1
Ralph Davis,davisra01,
Red Davis,davisre01,
Ricky Davis,davisri01,ricky-davis-1
Ron Davis,davisro01,ron-davis-1
Terry Davis,daviste01,
Walt Davis,daviswa01,
Walter Davis,daviswa03,walter-davis-2
Warren Davis,daviswa02,
Willie Davis,daviswi01,
Andre Dawkins,dawkian01,andre-dawkins-1
Darryl Dawkins,dawkida01,
Johnny Dawkins,dawkijo01,johnny-dawkins-1
Paul Dawkins,dawkipa01,paul-dawkins-1
Branden Dawson,dawsobr01,branden-dawson-1
Eric Dawson,dawsoer01,
Jimmy Dawson,dawsoji01,
Tony Dawson,dawsoto01,tony-dawson-1
Todd Day,dayto01,todd-day-1
Austin Daye,dayeau01,austin-daye-1
Darren Daye,dayeda01,darren-daye-1
Nando De Colo,decolna01,
Greg Deane,deanegr01,greg-deane-1
Billy DeAngelis,deangbi01,
Dave DeBusschere,debusda01,dave-debusschere-1
Andrew DeClercq,declean01,andrew-declercq-1
Dewayne Dedmon,dedmode01,dewayne-dedmon-1
Don Dee,deedo01,
Archie Dees,deesar01,
Terry Dehere,deherte01,terry-dehere-1
Red Dehnert,dehnere01,
Bryce Dejean-Jones,dejeabr01,bryce-jones-1
Sam Dekker,dekkesa01,sam-dekker-1
Vinny Del Negro,delnevi01,vinny-del-negro-1
Malcolm Delaney,delanma01,malcolm-delaney-1
Bison Dele,delebi01,bison-dele-1
Carlos Delfino,delfica01,
Tony Delk,delkto01,tony-delk-1
Matthew Dellavedova,dellama01,matthew-dellavedova-1
Nate DeLong,delonna01,
Fennis Dembo,dembofe01,fennis-dembo-1
Larry Demic,demicla01,larry-demic-1
Dell Demps,dempsde01,dell-demps-1
George Dempsey,dempsge01,
Luol Deng,denglu01,luol-deng-1
Kenny Dennard,dennake01,kenny-dennard-1
Blaine Denning,dennibl01,
Justin Dentmon,dentmju01,justin-dentmon-1
Randy Denton,dentora01,
Joe DePre,deprejo01,
Rod Derline,derliro01,
DeMar DeRozan,derozde01,demar-derozan-1
Dave Deutsch,deutsda01,
Corky Devlin,devlico01,
Hank DeZonie,dezonha01,
Derrick Dial,dialde01,derrick-dial-1
Cheick Diallo,diallch01,cheick-diallo-1
Boris Diaw,diawbo01,
Yakhouba Diawara,diawaya01,yakhouba-diawara-1
Guillermo Diaz,diazgu01,guillermo-diaz-1
Dan Dickau,dickada01,dan-dickau-1
Kaniel Dickens,dickeka01,kaniel-dickens-1
Henry Dickerson,dickehe01,
Michael Dickerson,dickemi01,michael-dickerson-1
Clyde Dickey,dickecl01,
Derrek Dickey,dickede01,
Dick Dickey,dickedi01,
John Dickson,dicksjo01,
Travis Diener,dienetr01,travis-diener-1
Gorgui Dieng,dienggo01,gorgui-dieng-1
Connie Dierking,dierkco01,
Coby Dietrick,dietrco01,
Ernie DiGregorio,digreer01,
Craig Dill,dillcr01,
Dwaine Dillard,dilladw01,
Mickey Dillard,dillami01,mickey-dillard-1
Bob Dille,dillebo01,
Hook Dillon,dilloho01,
Byron Dinkins,dinkiby01,byron-dinkins-1
Jackie Dinkins,dinkija01,
Harry Dinnel,dinneha01,
Bill Dinwiddie,dinwibi01,
Spencer Dinwiddie,dinwisp01,spencer-dinwiddie-1
Ike Diogu,dioguik01,ike-diogu-1
DeSagana Diop,diopde01,
Terry Dischinger,dischte01,
Fred Diute,diutefr01,
Vlade Divac,divacvl01,
Juan Dixon,dixonju01,juan-dixon-1
Aleksandar Djordjevic,djordal01,
Earl Dodd,doddea01,
Michael Doleac,doleami01,michael-doleac-1
Joe Dolhon,dolhojo01,
Bob Doll,dollbo01,
James Donaldson,donalja01,james-donaldson-1
Bob Donham,donhabo01,
Billy Donovan,donovbi01,billy-donovan-1
Harry Donovan,donovha01,
Keyon Dooling,doolike01,keyon-dooling-1
Jacky Dorsey,dorseja01,jacky-dorsey-1
Joey Dorsey,dorsejo01,joey-dorsey-1
Ron Dorsey,dorsero01,
Quincy Douby,doubyqu01,quincy-douby-1
Bruce Douglas,douglbr01,bruce-douglas-1
John Douglas,dougljo01,john-douglas-1
Leon Douglas,douglle01,leon-douglas-1
Sherman Douglas,douglsh01,sherman-douglas-1
Toney Douglas,douglto01,toney-douglas-1
Chris Douglas-Roberts,douglch01,chris-douglas-roberts-1
Sonny Dove,doveso01,
Jerry Dover,doverje01,
Zabian Dowdell,dowdeza01,zabian-dowdell-1
Bill Downey,downebi01,
Steve Downing,downist01,
Danny Doyle,doyleda01,
Terry Dozier,doziete01,terry-dozier-1
Goran Dragic,dragigo01,
Zoran Dragic,dragizo01,
Greg Dreiling,dreilgr01,greg-dreiling-1
Bryce Drew,drewbr01,bryce-drew-1
John Drew,drewjo01,
Larry Drew,drewla01,larry-drew-1
Larry Drew,drewla02,larry-drew-2
Clyde Drexler,drexlcl01,clyde-drexler-1
Nate Driggers,driggna01,
Terry Driscoll,driscte01,
Predrag Drobnjak,drobnpr01,
Ralph Drollinger,drollra01,ralph-drollinger-1
Andre Drummond,drumman01,andre-drummond-1
Dick Duckett,duckedi01,
Kevin Duckworth,duckwke01,kevin-duckworth-1
Charles Dudley,dudlech01,
Chris Dudley,dudlech02,chris-dudley-1
Jared Dudley,dudleja01,jared-dudley-1
Terry Duerod,duerote01,
Bob Duffy,duffybo01,
Bob Duffy,duffybo02,
Chris Duhon,duhonch01,chris-duhon-1
Duje Dukan,dukandu01,duje-dukan-1
Walter Dukes,dukeswa01,
Joe Dumars,dumarjo01,joe-dumars-1
Rich Dumas,dumasri01,
Richard Dumas,dumasri02,richard-dumas-1
Tony Dumas,dumasto01,tony-dumas-1
Andy Duncan,duncaan01,
Tim Duncan,duncati01,tim-duncan-1
Mike Dunleavy,dunlemi01,mike-dunleavy-1
Mike Dunleavy,dunlemi02,mike-dunleavy-2
Kris Dunn,dunnkr01,kris-dunn-1
Pat Dunn,dunnpa01,
T.R. Dunn,dunntr01,tr-dunn-1
Ronald Dupree,duprero01,ronald-dupree-1
Kevin Durant,duranke01,kevin-durant-1
John Duren,durenjo01,john-duren-1
Jarrett Durham,durhaja01,
Pat Durham,durhapa01,pat-durham-1
Devin Durrant,durrade01,devin-durrant-1
Ken Durrett,durreke01,
Dennis DuVal,duvalde01,
Jack Dwan,dwanja01,
Craig Dykema,dykemcr01,craig-dykema-1
Gene Dyker,dykerge01,
Jerome Dyson,dysonje01,jerome-dyson-1
Ledell Eackles,eacklle01,ledell-eackles-1
Jim Eakins,eakinji01,
Acie Earl,earlac01,acie-earl-1
Ed Earle,earleed01,
Cleanthony Early,earlycl01,cleanthony-early-1
Penny Early,earlype01,
Mark Eaton,eatonma01,mark-eaton-1
Jerry Eaves,eavesje01,jerry-eaves-1
Devin Ebanks,ebankde01,devin-ebanks-1
Bill Ebben,ebbenbi01,
Al Eberhard,eberhal01,
Ndudi Ebi,ebind01,
Roy Ebron,ebronro01,
Jarell Eddie,eddieja01,jarell-eddie-1
Patrick Eddie,eddiepa01,patrick-eddie-1
Dike Eddleman,eddledi01,
Kenton Edelin,edelike01,kenton-edelin-1
Charles Edge,edgech01,
Bobby Edmonds,edmonbo01,
Keith Edmonson,edmonke01,keith-edmonson-1
Tyus Edney,edneyty01,tyus-edney-1
Bill Edwards,edwarbi01,bill-edwards-1
Blue Edwards,edwarbl01,blue-edwards-1
Corsley Edwards,edwarco01,corsley-edwards-1
Doug Edwards,edwardo01,doug-edwards-1
Franklin Edwards,edwarfr01,franklin-edwards-1
James Edwards,edwarja01,james-edwards-1
Jay Edwards,edwarja02,jay-edwards-1
John Edwards,edwarjo01,john-edwards-1
Kevin Edwards,edwarke01,kevin-edwards-1
Shane Edwards,edwarsh01,shane-edwards-1
Johnny Egan,eganjo01,
Lonnie Eggleston,egglelo01,
Bulbs Ehlers,ehlerbu01,
Craig Ehlo,ehlocr01,craig-ehlo-1
Rich Eichhorst,eichhdi01,
Howard Eisley,eisleho01,howard-eisley-1
Obinna Ekezie,ekeziob01,obinna-ekezie-1
Khalid El-Amin,elamikh01,khalid-el-amin-1
Don Eliason,eliasdo01,
Mario Elie,eliema01,
Ray Ellefson,ellefra01,
Henry Ellenson,ellenhe01,henry-ellenson-1
Wayne Ellington,ellinwa01,wayne-ellington-1
Bob Elliott,elliobo01,bob-elliott-1
Sean Elliott,elliose01,sean-elliott-1
Bo Ellis,ellisbo02,bo-ellis-2
Boo Ellis,ellisbo01,
Dale Ellis,ellisda01,dale-ellis-1
Harold Ellis,ellisha01,
Joe Ellis,ellisjo01,
LaPhonso Ellis,ellisla01,laphonso-ellis-1
LeRon Ellis,ellisle02,leron-ellis-1
Leroy Ellis,ellisle01,
Monta Ellis,ellismo01,
Pervis Ellison,ellispe01,pervis-ellison-1
Len Elmore,elmorle01,len-elmore-1
Francisco Elson,elsonfr01,francisco-elson-1
Darrell Elston,elstoda01,
Melvin Ely,elyme01,melvin-ely-1
Joel Embiid,embiijo01,joel-embiid-1
Wayne Embry,embrywa01,
Andre Emmett,emmetan01,andre-emmett-1
Ned Endress,endrene01,
Chris Engler,englech01,chris-engler-1
Wayne Englestad,englewa01,wayne-englestad-1
A.J. English,engliaj01,
Alex English,englial01,alex-english-1
Claude English,englicl01,
Jo Jo English,englijo01,jo-jo-english-1
Kim English,engliki01,kim-english-1
Scott English,englisc01,
Gene Englund,engluge01,
James Ennis,ennisja01,
Tyler Ennis,ennisty01,tyler-ennis-1
Ray Epps,eppsra01,
Semih Erden,erdense01,
Bo Erias,eriasbo01,
Keith Erickson,erickke01,
Julius Erving,ervinju01,julius-erving-1
Evan Eschmeyer,eschmev01,evan-eschmeyer-1
Jack Eskridge,eskrija01,
Vincenzo Esposito,esposvi01,
Billy Evans,evansbi01,
Bob Evans,evansbo01,
Brian Evans,evansbr01,brian-evans-1
Earl Evans,evansea01,earl-evans-1
Jeremy Evans,evansje01,jeremy-evans-1
Maurice Evans,evansma01,maurice-evans-1
Mike Evans,evansmi01,mike-evans-1
Reggie Evans,evansre01,reggie-evans-1
Tyreke Evans,evansty01,tyreke-evans-1
Daniel Ewing,ewingda01,daniel-ewing-1
Patrick Ewing,ewingpa01,patrick-ewing-1
Patrick Ewing,ewingpa02,pat-ewing-1
Dante Exum,exumda01,
Christian Eyenga,eyengch01,
Festus Ezeli,ezelife01,festus-ezeli-1
Johnny Ezersky,ezersjo01,
Joe Fabel,fabeljo01,
John Fairchild,faircjo01,
Phil Farbman,farbmph01,
Kenneth Faried,farieke01,kenneth-faried-1
Dick Farley,farledi01,
Jordan Farmar,farmajo01,jordan-farmar-1
Desmon Farmer,farmede01,desmon-farmer-1
Jim Farmer,farmeji01,jim-farmer-1
Mike Farmer,farmemi01,
Tony Farmer,farmeto01,tony-farmer-1
Bob Faught,faughbo01,
Vitor Faverani,favervi01,
Derrick Favors,favorde01,derrick-favors-1
Nick Fazekas,fazekni01,nick-fazekas-1
Dave Fedor,fedorda01,
Bob Feerick,feeribo01,
Butch Feher,feherbu01,
Jamie Feick,feickja01,jamie-feick-1
Ron Feiereisel,feierro01,
George Feigenbaum,feigege01,
Dave Feitl,feitlda01,dave-feitl-1
Kay Felder,feldeka01,kahlil-felder-1
Cristiano Felicio,feliccr01,
Carrick Felix,felixca01,carrick-felix-1
Noel Felix,felixno01,noel-felix-1
Ray Felix,felixra01,
Raymond Felton,feltora01,raymond-felton-1
Jake Fendley,fendlja01,
Warren Fenley,fenlewa01,
Desmond Ferguson,fergude01,
Rudy Fernandez,fernaru01,rudy-fernandez-1
Eric Fernsten,fernser01,eric-fernsten-1
Al Ferrari,ferraal01,
Rolando Ferreira,ferrero01,rolando-ferreira-1
Duane Ferrell,ferredu01,duane-ferrell-1
Yogi Ferrell,ferreyo01,kevin-ferrell-1
Arnie Ferrin,ferriar01,
Bob Ferry,ferrybo01,
Danny Ferry,ferryda01,danny-ferry-1
Kyrylo Fesenko,fesenky01,
Bobby Fields,fieldbo01,
Kenny Fields,fieldke01,kenny-fields-1
Landry Fields,fieldla01,landry-fields-1
Ron Filipek,filipro01,
Greg Fillmore,fillmgr01,
Larry Finch,finchla01,
Hank Finkel,finkeha01,
Michael Finley,finlemi01,michael-finley-1
Danny Finn,finnda01,
Dorian Finney-Smith,finnedo01,dorian-finney-smith-1
Matt Fish,fishma01,matt-fish-1
Derek Fisher,fishede01,derek-fisher-1
Richard Fisher,fisheri01,
Gerald Fitch,fitchge01,gerald-fitch-1
Bob Fitzgerald,fitzgbo01,
Dick Fitzgerald,fitzgdi01,
Marcus Fizer,fizerma01,marcus-fizer-1
Jerry Fleishman,fleisje01,
Al Fleming,flemial01,
Ed Fleming,flemied01,
Vern Fleming,flemive01,vern-fleming-1
Luis Flores,florelu01,luis-flores-1
Bruce Flowers,flowebr01,bruce-flowers-1
Sleepy Floyd,floydsl01,sleepy-floyd-1
Jonny Flynn,flynnjo01,jonny-flynn-1
Mike Flynn,flynnmi01,
Larry Fogle,foglela01,
Jack Foley,foleyja01,
Isaac Fontaine,fontais01,isaac-fontaine-1
Levi Fontaine,fontale01,
Jeff Foote,footeje01,jeff-foote-1
Bryn Forbes,forbebr01,bryn-forbes-1
Gary Forbes,forbega01,gary-forbes-1
Alphonso Ford,fordal01,alphonso-ford-1
Alton Ford,fordal02,alton-ford-1
Bob Ford,fordbo01,
Chris Ford,fordch01,chris-ford-1
Don Ford,forddo01,don-ford-1
Jake Ford,fordja01,
Phil Ford,fordph01,phil-ford-1
Sharrod Ford,fordsh02,sharrod-ford-1
Sherell Ford,fordsh01,sherell-ford-1
T.J. Ford,fordtj01,tj-ford-1
Donnie Forman,formado01,
Bayard Forrest,forreba01,
Joseph Forte,fortejo01,joseph-forte-1
Courtney Fortson,fortsco01,courtney-fortson-1
Danny Fortson,fortsda01,danny-fortson-1
Fred Foster,fostefr01,
Greg Foster,fostegr01,greg-foster-1
Jeff Foster,fosteje01,
Jimmy Foster,fosteja01,
Rod Foster,fostero01,rod-foster-1
Antonis Fotsis,fotsian01,
Evan Fournier,fournev01,
Larry Foust,foustla01,larry-foust-1
Calvin Fowler,fowleca01,cal-fowler-1
Jerry Fowler,fowleje01,
Tremaine Fowlkes,fowlktr01,tremaine-fowlkes-1
Harold Fox,foxha01,
Jim Fox,foxji01,
Rick Fox,foxri01,rick-fox-1
Randy Foye,foyera01,randy-foye-1
Adonal Foyle,foylead01,adonal-foyle-1
Richie Frahm,frahmri01,richie-frahm-1
Steve Francis,francst01,steve-francis-1
Tellis Frank,frankte01,tellis-frank-1
Nat Frankel,frankna01,
Jamaal Franklin,frankja01,jamaal-franklin-1
William Franklin,frankwi01,
Ronald Franz,franzro01,
Tim Frazier,fraziti01,tim-frazier-1
Walt Frazier,fraziwa01,walt-frazier-1
Will Frazier,fraziwi01,
Anthony Frederick,fredean01,anthony-frederick-1
Jimmer Fredette,fredeji01,jimmer-fredette-1
World B. Free,freewo01,
Joel Freeland,freeljo01,
Donnie Freeman,freemdo01,
Gary Freeman,freemga01,
Rod Freeman,freemro01,
Matt Freije,freijma01,matt-freije-1
Frido Frey,freyfr01,
Larry Friend,frienla01,
Pat Frink,frinkpa01,
Jim Fritsche,fritsji01,
Channing Frye,fryech01,channing-frye-1
Bernie Fryer,fryerbe01,
Frank Fucarino,fucarfr01,
Herm Fuetsch,fuetshe01,
Joe Fulks,fulksjo01,
Carl Fuller,fulleca01,
Hiram Fuller,fullehi01,hiram-fuller-1
Todd Fuller,fulleto02,todd-fuller-1
Tony Fuller,fulleto01,tony-fuller-1
Lawrence Funderburke,fundela01,lawrence-funderburke-1
Terry Furlow,furlote01,terry-furlow-1
Bill Gabor,gaborbi01,
Dan Gadzuric,gadzuda01,dan-gadzuric-1
Deng Gai,gaide01,deng-gai-1
Elmer Gainer,gaineel01,
Bill Gaines,gainebi01,
Corey Gaines,gaineco01,corey-gaines-1
David Gaines,gaineda01,
Reece Gaines,gainere01,reece-gaines-1
Sundiata Gaines,gainesu01,sundiata-gaines-1
Mike Gale,galemi01,
Chad Gallagher,gallach01,chad-gallagher-1
Harry Gallatin,gallaha01,
Danilo Gallinari,gallida01,
Langston Galloway,gallola01,langston-galloway-1
Dave Gambee,gambeda01,
Kevin Gamble,gamblke01,kevin-gamble-1
Bob Gantt,ganttbo01,
Jorge Garbajosa,garbajo01,
Ruben Garces,garceru01,ruben-garces-1
Alex Garcia,garcial01,
Francisco Garcia,garcifr01,francisco-garcia-1
Chuck Gardner,gardnch01,
Earl Gardner,gardnea01,
Kenneth Gardner,gardnke01,
Thomas Gardner,gardnth01,thomas-gardner-1
Vern Gardner,gardnve01,
Jack Garfinkel,garfija01,
Patricio Garino,garinpa01,patricio-garino-1
Gary Garland,garlaga01,gary-garland-1
Winston Garland,garlawi01,
Dick Garmaker,garmadi01,
Bill Garner,garnebi01,
Chris Garner,garnech01,chris-garner-1
Bill Garnett,garnebi02,bill-garnett-1
Kevin Garnett,garneke01,
Marlon Garnett,garnema01,marlon-garnett-1
Calvin Garrett,garreca01,
Dean Garrett,garrede01,dean-garrett-1
Diante Garrett,garredi02,diante-garrett-1
Dick Garrett,garredi01,
Rowland Garrett,garrero01,
Tom Garrick,garrito01,tom-garrick-1
John Garris,garrijo01,john-garris-1
Kiwane Garris,garriki01,kiwane-garris-1
Pat Garrity,garripa01,pat-garrity-1
Jim Garvin,garviji01,
Marc Gasol,gasolma01,
Pau Gasol,gasolpa01,
Frank Gates,gatesfr01,
Chris Gatling,gatlich01,chris-gatling-1
Kenny Gattison,gattike01,kenny-gattison-1
Rudy Gay,gayru01,rudy-gay-1
Ed Gayda,gaydaed01,
Andrew Gaze,gazean01,andrew-gaze-1
Michael Gbinije,gbinimi01,michael-gbinije-1
Reggie Geary,gearyre01,reggie-geary-1
Alonzo Gee,geeal01,alonzo-gee-1
Matt Geiger,geigema01,matt-geiger-1
Mickael Gelabale,gelabmi01,
Devean George,georgde01,
Jack George,georgja01,
Paul George,georgpa01,paul-george-1
Tate George,georgta01,tate-george-1
Marcus Georges-Hunt,georgma01,marcus-georges-hunt-1
Gus Gerard,gerargu01,gus-gerard-1
Derrick Gervin,gervide01,derrick-gervin-1
George Gervin,gervige01,
Gorham Getchell,getchgo01,
John Gianelli,gianejo01,john-gianelli-1
Dick Gibbs,gibbsdi01,
Daniel Gibson,gibsoda01,daniel-gibson-1
Dee Gibson,gibsode01,
Hoot Gibson,gibsoho01,
Jonathan Gibson,gibsojo01,jonathan-gibson-1
Mel Gibson,gibsome01,
Mike Gibson,gibsomi01,
Taj Gibson,gibsota01,taj-gibson-1
J.R. Giddens,giddejr01,jr-giddens-1
Trey Gilder,gildetr01,trey-gilder-1
Eddie Gill,gilled01,eddie-gill-1
Kendall Gill,gillke01,kendall-gill-1
Ben Gillery,gillebe01,ben-gillery-1
Jack Gillespie,gilleja01,
Gene Gillette,gillege01,
Armen Gilliam,gilliar01,
Herm Gilliam,gillihe01,
Artis Gilmore,gilmoar01,artis-gilmore-1
Walt Gilmore,gilmowa01,
Chuck Gilmur,gilmuch01,
Manu Ginobili,ginobma01,
Gordan Giricek,giricgo01,
Jack Givens,givenja01,jack-givens-1
Mickell Gladness,gladnmi01,mickell-gladness-1
George Glamack,glamage01,
Gerald Glass,glassge01,gerald-glass-1
Mike Glenn,glennmi01,mike-glenn-1
Normie Glick,glickno01,
Georgi Glouchkov,gloucge01,
Clarence Glover,glovecl01,
Dion Glover,glovedi01,dion-glover-1
Andreas Glyniadakis,glynian01,
Mike Gminski,gminsmi01,mike-gminski-1
Rudy Gobert,goberru01,
Dan Godfread,godfrda01,dan-godfread-1
Tom Gola,golato01,
Ben Goldfaden,goldfbe01,
Anthony Goldwire,goldwan01,anthony-goldwire-1
Ryan Gomes,gomesry01,ryan-gomes-1
Glen Gondrezick,gondrgl01,glen-gondrezick-1
Grant Gondrezick,gondrgr01,grant-gondrezick-1
Drew Gooden,goodedr01,drew-gooden-1
Gail Goodrich,goodrga01,gail-goodrich-1
Steve Goodrich,goodrst01,steve-goodrich-1
Archie Goodwin,goodwar01,archie-goodwin-1
Pop Goodwin,goodwpo01,
Aaron Gordon,gordoaa01,aaron-gordon-1
Ben Gordon,gordobe01,ben-gordon-1
Drew Gordon,gordodr01,drew-gordon-1
Eric Gordon,gordoer01,eric-gordon-1
Lancaster Gordon,gordola01,lancaster-gordon-1
Paul Gordon,gordopa01,
Marcin Gortat,gortama01,
